order_id,payment_sequential,payment_type,payment_installments,payment_value
771ee386b001f06208a7419e4fc1bbd7,1,credit_card,1,81.16
3ba2d0012b1f34bc6ccbc31c4ba69f93,1,credit_card,6,60.07
96cc8c42014ddb42a775da9a45ae3f76,1,credit_card,2,203.30
79b63d1f9cf0257b33b04fbfb0847cba,2,voucher,1,76.90
ec5cf2317f5141a62836da8e71586eb6,1,credit_card,8,232.27
87276b621cf05e7f2afee8be6c9721b6,1,credit_card,8,314.21
332e264249f30a888b81bffd7a84e03c,1,boleto,1,131.47
6d0da5add693d625079fa8fdf40967d6,1,boleto,1,19.48
0fe66ba925b98652d484ad6af89402e7,1,boleto,1,230.10
f6cc5ac0be9196f2fb3db04bace5cd8b,1,credit_card,7,238.65
417b5687161450887ef2e6b283c15c32,1,credit_card,1,93.66
f13f5fdf45611c82c2e37a20c065ddd1,1,credit_card,1,115.78
f1c5e5967b0cd0144bd3b56958f7da43,1,boleto,1,90.76
85feadc22f532c19478ba1b613a1f40a,1,credit_card,2,173.62
fa3cc6b1b48c7b730f6c4c43e423c5aa,1,credit_card,5,674.92
bddbca2d48a961d74fe81de8febf9a73,1,credit_card,5,180.49
e4e3babab4d0f208cb6963df2458709d,1,credit_card,9,92.57
44d2ec7f124befc9d02cd313f1af14c5,1,boleto,1,142.69
4dfe2ddcd2de2e45fd88e8c6bae55901,1,credit_card,3,111.62
2e76a5ef63f6a5a14ad1de12b201dbd2,1,debit_card,1,79.61
eb54651b02b959e50ba4adaabeedfe80,1,credit_card,4,400.80
b231ac7a6c9bf6113ddfd94e6fec8cd8,1,credit_card,1,123.92
ac2a626df847783c310f77108af182ea,1,boleto,1,244.15
9b573950822247289cc283b3e30f19d8,1,credit_card,2,37.09
92cac19c19596022d13902b2908896ac,1,credit_card,1,75.17
a52c52c656d3b3ef3ec72fcdc13c714f,1,debit_card,1,69.90
4e78c8e6f00a4ca7409db04227837738,1,credit_card,3,95.64
b0687213cf67e3c3aa0fc89237bc79b6,1,credit_card,7,173.59
621ab070c6e1491f81eb9a8a8ccb0ea9,1,boleto,1,62.59
c1101a911387fc42d24230c28f75f016,1,credit_card,2,99.88
f28cf65c040ec0031234f04085debe30,1,credit_card,5,218.06
e348340be1b89ce72632697b8fb283ea,1,boleto,1,111.18
e26feee700e28b2867a3e8d6f2b644b3,1,credit_card,1,670.85
0c7ccdb239bd524a31dc66094fa59626,1,boleto,1,55.10
c711d7f26c4563f427379e7ed3bfdc51,1,credit_card,4,113.11
ba75b10a16e530cca75088408909b325,1,credit_card,2,104.21
f1dd11aa9f95d84fd072504f9e6e2f11,1,boleto,1,70.93
c40180549a3a3bdff8f27b84bfff14ba,1,credit_card,2,47.62
5ec4ec0bb9c63325c2a003b014c9b7b5,1,credit_card,1,28.79
94781b7e571ded2ff6f80434f6fe2a43,1,credit_card,10,1653.60
063009988101940b4392ba9b2f2ca112,1,boleto,1,28.20
0650ef96422834cca0cc7799efbf6307,1,credit_card,2,118.88
d16b2207d93383dc91aa5da54cec3d0a,1,credit_card,2,106.16
21577126c19bf11a0b91592e5844ba78,10,voucher,1,9.34
de55aaef46848b1f0c47093ba2430a27,1,credit_card,4,77.98
959736e06ddf68235a3bd98b1bf8edba,1,credit_card,5,95.09
16311a0494e6db86617bc4486d9f1e9e,1,credit_card,1,100.62
c6b9d35e4e9ddeeeeb374acaf98dbf2b,1,credit_card,2,176.33
f3a90b689fbd9cfa13d56d57dba508f2,1,credit_card,2,119.38
d9e98b1f6961932f22bf340d0153bbad,1,credit_card,5,254.33
c50a61769f40b372bbbd80499c805d9a,1,boleto,1,118.35
848ab881c02107858764faed825d804b,1,credit_card,2,381.22
823543bada3fd3a5ba1f68e7a35fb9eb,1,credit_card,8,299.75
8104809ce1b8fe36d8228fd0e357ebc0,1,boleto,1,113.55
12126a7699ca7a88dd86dd3f52bc8baa,1,credit_card,5,51.84
51abb20be6330420d4528fe527d3f90e,1,credit_card,1,86.73
a3965b3546bff7e3ec5e766fa6e8d865,1,credit_card,5,71.15
24e48a0c9fc1cfb4bf9ccfd3dfd7c984,1,credit_card,3,438.76
6f8026dc118f5bb6ff82b03e8eaae469,1,credit_card,1,68.22
52d737a419e3d5424beb6b55abd83bcb,1,boleto,1,163.24
87cbf27ac970c7423f11157c2ef6ec26,1,credit_card,10,307.69
cbdda7b3592588a17fa43ca6c7300e72,1,boleto,1,182.94
3369b9e1711af775c57b7ad52baf8017,1,credit_card,2,61.88
38d7ca365470a06bd907802a6a62d83a,1,credit_card,5,53.10
46944b54ffc20e22cd2792f7b7b12a82,1,boleto,1,155.77
3f695ee2567af0b169e482d825ec8e31,1,boleto,1,118.46
ad192211a3b7e6018ffdea3e5fef1444,1,credit_card,1,79.88
77ca435b03fbf991e5027e3776e37885,1,credit_card,2,60.69
33d6fae0e702308c1b1c332b45653b71,1,boleto,1,91.79
56ee0507f806ad1a079e2905d5beff09,1,boleto,1,94.31
cf96b3a15cf1f61c5398ae91f1cbd75f,1,credit_card,5,137.53
9656510a0f73952b9c305fe0bd264056,1,credit_card,10,136.04
4089dcf1cbb89bc02b04c143c7dab499,1,credit_card,2,636.46
966d900084ff48f38516ba0a9bd50cfe,1,credit_card,1,61.05
0bb4c390179e95dbed8944e735b7da62,1,credit_card,1,112.25
34479af2d143031f3a316ed407892b51,1,credit_card,1,237.92
4d2711a0db9f671c10f8ce62aeb438bb,1,credit_card,4,79.51
12fb2d2b590f7359e3b473456bd1ca87,1,credit_card,1,236.70
76a49c5fef54cb6ca3491709fbb1690e,1,debit_card,1,68.23
95d1d57cd27cd0857ef85f53ad2ed3b8,1,boleto,1,54.33
7f8ea9cfc45806c663bbb7cf99b530a5,1,credit_card,2,99.90
024a74550cdbd36c0fe3955fc9e2bcf0,1,credit_card,1,35.45
0b4129a3415a486e4965d618f9b5debf,1,credit_card,10,126.11
7900eb5f4c656f8e2b69ff8751a09e8a,1,credit_card,2,141.91
21577126c19bf11a0b91592e5844ba78,13,voucher,1,4.74
241b1a5ff1d152dc47bf2093ea154edf,1,credit_card,6,60.27
972e7938b32b93b78bf5faf4358ad5fe,1,credit_card,2,70.49
99eae747b45fb42516e46311533b3064,2,voucher,1,20.00
21577126c19bf11a0b91592e5844ba78,14,voucher,1,7.11
112e22ce5f700d2155befd89a15b4a5b,1,credit_card,1,46.76
cac1850fae99ea24a8186fad4db365bb,2,voucher,1,20.00
23878b3366bb97c4877f944c685fc546,1,credit_card,3,54.34
b1503f3f344c66cf0a3bdc1e2a6e3fcb,1,credit_card,2,142.30
ac046246a304e47bb50a9c923430aa55,1,credit_card,1,89.58
1265cc7a9988226b4abf1885582ceade,1,credit_card,5,54.22
7caa2aaed7e9a56d1bc1004eb7d296e5,2,voucher,1,75.50
c8e75378d45ac6daae73b7ff2d236798,1,credit_card,1,71.44
90baa6d3d361db0998df0ce29f002777,1,credit_card,10,132.08
2a9d70160f5851dffc39e01a5486fb62,1,credit_card,1,66.73
8b02a2a9b1ae5a5e5e840795cdc70fc3,1,debit_card,1,83.45
acb56e6695d371a1c50a34c38938277e,1,credit_card,4,120.18
20edc82cf5400ce95e1afacc25798b31,1,credit_card,1,54.97
8e7067b0751f4e22d4e31728a9a8323e,1,boleto,1,136.08
8dd212b37ef87381b34684de2200d25d,1,credit_card,2,103.63
8048d654b51cffc429b4e7121a23f7c8,1,credit_card,2,165.26
da19f73a444dea9507b737d32d8eef61,2,voucher,1,258.94
45fb3f449f9ca45f89ba2d2b062e495b,1,credit_card,1,35.40
3d0a2787777e731001936c8a443b22fb,1,credit_card,6,62.55
