product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
b5cfb1d3c5e435a7a52227e08f220ee7,cool_stuff,55,410,2,1300,36,16,24
be1be330cf34043d1c40d6114cbd11b5,relogios_presentes,51,484,1,317,19,13,16
07f01b6fcacc1b187a71e5074199db2d,agro_industria_e_comercio,39,430,1,16400,63,66,56
f4d705aa95ccca448e5b0deb6e5290ba,cama_mesa_banho,57,74,1,250,20,2,15
bbaef2eadf31fe3ea6702077398be06c,perfumaria,45,1003,2,400,18,11,11
3fc3d637781e5d185455013606a6e2cd,eletronicos,32,1274,1,250,16,10,30
e2c3ed9aaddfd2312a6a5fe9b3ddadd3,brinquedos,53,579,1,675,22,24,21
71c808620fa8dafbe6cd6c638cc67567,esporte_lazer,58,568,4,200,26,5,20
de984954e2e130136bcf8988bc973d90,instrumentos_musicais,40,234,1,1000,56,9,22
c6336fa91fbd87c359e44f5dca5a90ed,esporte_lazer,39,772,1,150,16,16,11
c354569eefd558bf201d0aedf35608ed,cama_mesa_banho,55,166,1,700,49,4,50
3931aaf38ba4cc928100541ff51b82ff,informatica_acessorios,45,554,3,400,16,4,16
7193329f650facb78de86a2e0b771e2f,beleza_saude,57,1668,1,850,18,10,14
12827caf723c4ff8030d64dcffe3cdab,beleza_saude,59,3939,6,150,28,13,12
860dd3635c61aba2d7ddea90b7d471b2,beleza_saude,50,1083,2,452,20,11,18
a963ea4d494221de09b70f1b4a70edbd,informatica_acessorios,58,240,1,150,35,8,11
0eb8e03d4ef83152c4642b606b5bbdec,moveis_decoracao,47,348,1,2900,40,10,35
bdb0b11a36aed4d0d862a7037c838560,telefonia,45,742,3,383,16,12,13
e792f2bb275bdea9b6076c2acbb5abcd,perfumaria,47,1090,1,850,16,14,11
dd1b2eb34840957a13204dd3dbc588bd,cool_stuff,52,673,1,175,30,20,25
53b36df67ebb7c41585e8d54d6772e08,relogios_presentes,33,523,3,584,16,11,13
29e4631be78811ab993ae12613053b53,automotivo,58,623,1,3100,70,8,70
ea44caac707f7f1325182a538007f838,bebes,59,809,5,6600,45,25,35
d8347a6f6301cb4343a6e05e095e5871,papelaria,60,815,5,1150,21,15,15
7642ddbf174d9a97119510f56be6c201,brinquedos,55,1131,3,1950,30,35,35
31a2f42a87890f87d77daebdfabc182e,brinquedos,58,419,5,1700,30,35,25
c033d17d5564326cf7986e7ffda1cf60,beleza_saude,55,865,4,1350,42,12,11
901d948bd60c35ff015aa3a8fe28b610,informatica_acessorios,30,642,2,200,20,10,15
962a6951154f98f2c8e9a5b8b2bcf4a9,moveis_decoracao,47,610,1,2550,30,35,30
92ee7c820f6eb0c532ecd94508e3cc29,audio,37,329,4,200,18,6,16
b53f20c2b12a4b9821ce57f46a7d1cae,esporte_lazer,54,1786,1,150,20,20,20
ead3077a141a9c800d6a4bb9d0d415b6,cama_mesa_banho,60,662,1,1150,22,4,28
256c61261c818dab727fa2a60d8964ca,moveis_escritorio,53,1092,1,8638,51,62,26
e4e9fa024c5f014419b395452a41987c,esporte_lazer,59,355,1,3450,16,105,55
cc5447118c174dcc6456c84ccb29e6f7,perfumaria,25,549,1,550,19,13,18
eba7488e1c67729f045ab43fac426f2e,perfumaria,43,259,1,610,22,14,16
819386cf1eea26ae023a2895cd2f73d1,construcao_ferramentas_construcao,60,1295,1,2100,54,10,11
52e9413ed0d3e64b796aac2bc2291d50,esporte_lazer,54,790,6,200,17,10,11
154e7e31ebfa092203795c972e5804a6,beleza_saude,48,575,1,100,20,15,15
a2a7efc985315e86d4f0f705701b342b,informatica_acessorios,45,837,1,1133,16,15,20
a8f6902216234a2535986d89451f9ad7,telefonia_fixa,42,938,2,800,16,28,25
a448325c57fbf792a2f6ac7d1b730917,climatizacao,63,1729,3,4800,72,5,11
0d90fced28b749fa0468818d98cb8212,beleza_saude,42,534,1,983,41,23,35
fe7d52482b17e6b3466f4b8f3ce51a9e,beleza_saude,45,3059,3,250,23,7,15
2ccd049c8e7ea210e079a1aa8ad92477,papelaria,54,218,3,6900,28,55,37
4fde8dfa310a17fa27bd63e6607dcd2d,cama_mesa_banho,48,2139,1,1700,30,23,11
8e3a9b154a86602302ce789b9eb8b6c7,beleza_saude,46,862,1,700,25,12,19
41801d2ed5124923137ec39aeeea1e93,utilidades_domesticas,51,444,1,8525,27,58,28
dd12801e4d1919e84bf6f90167f22fb5,fashion_roupa_feminina,58,360,4,450,16,5,20
7f4e034245e45549110139d1de248f83,bebes,55,1629,1,600,20,13,13
